cartodb_id,the_geom,id,id_1,highway,height,lamp_count,lamp_height,lamp_light,lamp_lit,lamp_shape,lamp_tilt,lit,light_colour,light_count,light_lit,light_method,light_shape,light_tilt,support,_natural,amenity
102,0101000020E6100000329E526F57D90DC081A32E6354394440,node/3456452086,node/3456452086,street_lamp,,,,,,,,,,,,,,,,,
103,0101000020E610000030F5A91908D80DC0B10D260F55394440,node/3456452087,node/3456452087,street_lamp,,,,,,,,,,,,,,,,,
104,0101000020E610000068C647307AD30DC04F2157EA59394440,node/3456452088,node/3456452088,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
105,0101000020E6100000AA8C351257D40DC042E32E675B394440,node/3456452089,node/3456452089,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
106,0101000020E6100000B66D1805C1D30DC0F5FD2F325C394440,node/3456452090,node/3456452090,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
107,0101000020E61000004FDC3BB4D9D20DC02F8672A25D394440,node/3456452091,node/3456452091,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
108,0101000020E6100000E68BBD175FD40DC0D51A947A60394440,node/3456452092,node/3456452092,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
109,0101000020E61000007201C34DA1DE0DC0161E8F7461394440,node/3456452093,node/3456452093,street_lamp,,,,,,,,,,,,,,,,,
110,0101000020E6100000E4BACE2B43E10DC01AD58E8763394440,node/3456452094,node/3456452094,street_lamp,,,,,,,,,,,,,,,,,
111,0101000020E6100000F450DB8651E00DC0F10D2A1664394440,node/3456452095,node/3456452095,street_lamp,,,,,,,,,,,,,,,,,
112,0101000020E61000002393F88150D30DC07E74EACA67394440,node/3456452096,node/3456452096,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
113,0101000020E610000020402BD5AAD20DC018A941E268394440,node/3456452097,node/3456452097,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
114,0101000020E610000093910E6A1ADF0DC00CCD751A69394440,node/3456452098,node/3456452098,street_lamp,,,,,,,,,,,,,,,,,
115,0101000020E61000004749FE1653DF0DC0932E47D96C394440,node/3456452099,node/3456452099,street_lamp,,,,,,,,,,,,,,,,,
116,0101000020E6100000E3FFE961C3DE0DC0F0C8B32671394440,node/3456452100,node/3456452100,street_lamp,,,,,,,,,,,,,,,,,
117,0101000020E6100000EF2FCC5367DF0DC0A26DEB5D72394440,node/3456452101,node/3456452101,street_lamp,,,,,,,,,,,,,,,,,
118,0101000020E6100000B1F336363BE20DC0AD57EC8A74394440,node/3456452102,node/3456452102,street_lamp,,,,,,,,,,,,,,,,,
